original_met_name,llm_queries,chosen_kegg_cpd,confidence,mapping_score,evidence_line,n_reactions,n_enzymes,n_pathways
acetoacetate,acetoacetate; acetoacetic acid,cpd:C00164,low,1.0,Query 'acetoacetate' -> cpd:C00164: Acetoacetate; 3-Oxobutanoic acid; beta-Ketobutyric acid; Acetoacetic acid,17,17,8
creatine,creatine,cpd:C00300,low,1.0,Query 'creatine' -> cpd:C00300: Creatine; alpha-Methylguanidino acetic acid; Methylglycocyamine,5,5,3
"cys-gly, oxidized","cys-gly, oxidized",,low,0.0,,0,0,0
estrone 3-sulfate,estrone 3-sulfate; estrone sulfate; estrone 3-sulfic acid,cpd:C02538,low,1.0,Query 'estrone 3-sulfate' -> cpd:C02538: Estrone 3-sulfate,2,3,3
dihomo-linoleate (20:2n6),dihomo-linoleate (20:2n6); dihomo-linoleic acid (20:2n6),,low,0.0,,0,0,0
gamma-glutamylhistidine,gamma-glutamylhistidine; glutamylhistidine,,low,0.0,,0,0,0
2-hydroxystearate,2-hydroxystearate; hydroxystearate; 2-hydroxystearic acid,cpd:C03042,low,0.7,Query '2-hydroxystearate' -> cpd:C03042: (R)-2-Hydroxystearate; (R)-2-Hydroxystearic acid; (R)-2-Hydroxyoctadecanoate; (R)-2-Hydroxyoctadecan,1,1,0
N1-methyladenosine,n1-methyladenosine; nmethyladenosine,,low,0.0,,0,0,0
glycerol,glycerol,cpd:C00116,low,1.0,"Query 'glycerol' -> cpd:C00116: Glycerol; Glycerin; 1,2,3-Trihydroxypropane; 1,2,3-Propanetriol",26,19,8
choline,choline,cpd:C00114,low,1.0,Query 'choline' -> cpd:C00114: Choline; Bilineurine,23,17,11
anthranilate,anthranilate; anthranilic acid,cpd:C00108,low,1.0,Query 'anthranilate' -> cpd:C00108: Anthranilate; Anthranilic acid; o-Aminobenzoic acid; Vitamin L1; 2-Aminobenzoate,24,14,19
12-HHTrE,12-hhtre; hhtre,,low,0.0,,0,0,0
gamma-glutamylleucine,gamma-glutamylleucine; glutamylleucine,,low,0.0,,0,0,0
3-methoxytyrosine,3-methoxytyrosine; methoxytyrosine,,low,0.0,,0,0,0
beta-hydroxyisovalerate,beta-hydroxyisovalerate; hydroxyisovalerate; beta-hydroxyisovaleric acid,cpd:C20827,low,0.7,Query 'hydroxyisovalerate' -> cpd:C20827: 3-Hydroxyisovalerate; 3-Hydroxy-3-methylbutyrate,1,0,2
palmitoyl ethanolamide,palmitoyl ethanolamide,cpd:C16512,low,0.1,Query 'palmitoyl ethanolamide' -> cpd:C16512: Palmitoylethanolamide; Palmidrol,0,0,1
linoleamide (18:2n6),linoleamide (18:2n6),,low,0.0,,0,0,0
oleamide,oleamide,cpd:C19670,low,1.0,Query 'oleamide' -> cpd:C19670: Oleamide; Oleyl amide; (Z)-9-Octadecenamide,1,1,0
N-linoleoylglycine,n-linoleoylglycine; linoleoylglycine,,low,0.0,,0,0,0
N-palmitoyl-sphingosine (d18:1/16:0),n-palmitoyl-sphingosine (d18:1/16:0); palmitoyl-sphingosine (d18:1/16:0),,low,0.0,,0,0,0
1-palmitoyl-2-oleoyl-GPE (16:0/18:1),1-palmitoyl-2-oleoyl-gpe (16:0/18:1); palmitoyl-oleoyl-gpe (16:0/18:1),,low,0.0,,0,0,0
1-palmitoyl-2-linoleoyl-GPI (16:0/18:2),1-palmitoyl-2-linoleoyl-gpi (16:0/18:2); palmitoyl-linoleoyl-gpi (16:0/18:2),,low,0.0,,0,0,0
1-palmitoyl-2-linoleoyl-GPC (16:0/18:2),1-palmitoyl-2-linoleoyl-gpc (16:0/18:2); palmitoyl-linoleoyl-gpc (16:0/18:2),,low,0.0,,0,0,0
stearoyl sphingomyelin (d18:1/18:0),stearoyl sphingomyelin (d18:1/18:0),,low,0.0,,0,0,0
1-palmitoyl-2-oleoyl-GPC (16:0/18:1),1-palmitoyl-2-oleoyl-gpc (16:0/18:1); palmitoyl-oleoyl-gpc (16:0/18:1),,low,0.0,,0,0,0
N-stearoyl-sphingosine (d18:1/18:0)*,n-stearoyl-sphingosine (d18:1/18:0)*; stearoyl-sphingosine (d18:1/18:0)*; n-stearoyl-sphingosine (d18:1/18:0),,low,0.0,,0,0,0
glycochenodeoxycholate,glycochenodeoxycholate; glycochenodeoxycholic acid,cpd:C05466,low,1.0,Query 'glycochenodeoxycholate' -> cpd:C05466: Glycochenodeoxycholate; Glycochenodeoxycholic acid; Chenodeoxyglycocholate,3,3,4
taurochenodeoxycholate,taurochenodeoxycholate; taurochenodeoxycholic acid,cpd:C05465,low,1.0,Query 'taurochenodeoxycholate' -> cpd:C05465: Taurochenodeoxycholate; Taurochenodeoxycholic acid; Chenodeoxycholoyltaurine,3,4,4
taurocholate,taurocholate; taurocholic acid,cpd:C05122,low,1.0,Query 'taurocholate' -> cpd:C05122: Taurocholate; Taurocholic acid; Cholyltaurine,2,2,6
taurodeoxycholate,taurodeoxycholate; taurodeoxycholic acid,cpd:C05463,low,1.0,Query 'taurodeoxycholate' -> cpd:C05463: Taurodeoxycholate; Taurodeoxycholic acid,1,1,0
azelate (C9-DC),azelate (c9-dc); azelate (cdc); azelic acid (c9-dc),,low,0.0,,0,0,0
eicosapentaenoate (EPA; 20:5n3),eicosapentaenoate (epa; 20:5n3); eicosapentaenoic acid (epa; 20:5n3),,low,0.0,,0,0,0
methylsuccinate,methylsuccinate; methylsuccinic acid,cpd:C14115,low,0.7,Query 'methylsuccinic acid' -> cpd:C14115: 2-Naphtylmethylsuccinic acid; Naphthyl-2-methyl-succinic acid,2,0,3
ethylmalonate,ethylmalonate; ethylmalonic acid,cpd:C02170,low,0.7,Query 'ethylmalonate' -> cpd:C02170: Methylmalonate; Methylmalonic acid,7,5,4
carnitine,carnitine,cpd:C00487,low,1.0,Query 'carnitine' -> cpd:C00487: Carnitine; gamma-Trimethyl-hydroxybutyrobetaine; 3-Hydroxy-4-trimethylammoniobutanoate,4,4,3
phenylacetate,phenylacetate; phenylacetic acid,cpd:C07086,low,0.9,Query 'phenylacetate' -> cpd:C07086: Phenylacetic acid; Benzylformic acid; Phenylacetate; Benzeneacetic acid,11,8,4
xanthurenate,xanthurenate; xanthurenic acid,cpd:C02470,low,0.9,Query 'xanthurenate' -> cpd:C02470: Xanthurenic acid; Xanthurenate,3,2,1
suberate (C8-DC),suberate (c8-dc); suberate (cdc); suberic acid (c8-dc),,low,0.0,,0,0,0
3-methyl-2-oxovalerate,3-methyl-2-oxovalerate; methyl-oxovalerate; 3-methyl-2-oxovaleric acid,,low,0.0,,0,0,0
methionine sulfoxide,methionine sulfoxide,,low,0.0,,0,0,0
3-methylhistidine,3-methylhistidine; methylhistidine,cpd:C01152,low,0.9,Query '3-methylhistidine' -> cpd:C01152: N(pi)-Methyl-L-histidine; N-pros-Methyl-L-histidine; 3-Methylhistidine; 1-Methylhistidine,3,3,2
5-hydroxylysine,5-hydroxylysine; hydroxylysine,cpd:C03429,low,0.7,Query '5-hydroxylysine' -> cpd:C03429: Protein 5-hydroxylysine,0,0,0
4-guanidinobutanoate,4-guanidinobutanoate; guanidinobutanoate; 4-guanidinobutanoic acid,cpd:C01035,low,1.0,Query '4-guanidinobutanoate' -> cpd:C01035: 4-Guanidinobutanoate; 4-Guanidinobutyric acid,4,4,2
pimelate (C7-DC),pimelate (c7-dc); pimelate (cdc); pimelic acid (c7-dc),,low,0.0,,0,0,0
glucuronate,glucuronate; glucuronic acid,cpd:C00191,low,0.9,Query 'glucuronate' -> cpd:C00191: D-Glucuronate; Glucuronic acid; Glucuronate,20,13,7
glycerol 3-phosphate,glycerol 3-phosphate; glycerol phosphate; glycerol 3-phosphic acid,cpd:C00093,low,0.7,Query 'glycerol 3-phosphate' -> cpd:C00093: sn-Glycerol 3-phosphate; Glycerophosphoric acid; D-Glycerol 1-phosphate,26,18,6
imidazole lactate,imidazole lactate; imidazole lactic acid,cpd:C05568,low,1.0,Query 'imidazole lactate' -> cpd:C05568: Imidazole lactate; Imidazole lactic acid; 2-Hydroxy-3-(1H-imidazol-5-yl)-propanoic acid,1,0,2
kynurenine,kynurenine,cpd:C01718,low,1.0,Query 'kynurenine' -> cpd:C01718: Kynurenine; 3-Anthraniloylalanine,0,0,0
glycerophosphorylcholine (GPC),glycerophosphorylcholine (gpc),,low,0.0,,0,0,0
allo-threonine,allo-threonine,cpd:C05519,low,0.5,Query 'allo-threonine' -> cpd:C05519: L-Allothreonine; L-allo-Threonine,3,3,2
N-acetylglutamate,n-acetylglutamate; acetylglutamate; n-acetylglutamic acid,cpd:C05595,low,0.5,Query 'acetylglutamate' -> cpd:C05595: 4-Hydroxyphenylacetylglutamic acid; p-Hydroxyphenylacetylglutamic acid; 4-Hydroxyphenylacetylglutama,1,1,1
xanthosine,xanthosine,cpd:C01762,low,1.0,Query 'xanthosine' -> cpd:C01762: Xanthosine,5,5,7
ribitol,ribitol,cpd:C00474,low,1.0,Query 'ribitol' -> cpd:C00474: Ribitol; Adonitol,3,3,3
glycodeoxycholate,glycodeoxycholate; glycodeoxycholic acid,cpd:C05464,low,1.0,"Query 'glycodeoxycholate' -> cpd:C05464: Glycodeoxycholate; Glycodeoxycholic acid; 3alpha,12alpha-Dihydroxy-5beta-cholan-24-oylglycine",1,1,0
gentisate,gentisate; gentisic acid,cpd:C00628,low,0.9,"Query 'gentisate' -> cpd:C00628: 2,5-Dihydroxybenzoate; 2,5-Dihydroxybenzoic acid; Gentisic acid; Hydroquinonecarboxylic acid; Gentis",8,6,5
indolelactate,indolelactate; indolelactic acid,cpd:C02043,low,1.0,Query 'indolelactate' -> cpd:C02043: Indolelactate,0,0,0
3-indoxyl sulfate,3-indoxyl sulfate; indoxyl sulfate; 3-indoxyl sulfic acid,cpd:C17086,low,0.7,Query 'indoxyl sulfate' -> cpd:C17086: Tyrindoxyl sulfate,0,0,0
glycylvaline,glycylvaline,,low,0.0,,0,0,0
gamma-glutamylphenylalanine,gamma-glutamylphenylalanine; glutamylphenylalanine,,low,0.0,,0,0,0
4-methyl-2-oxopentanoate,4-methyl-2-oxopentanoate; methyl-oxopentanoate; 4-methyl-2-oxopentanoic acid,cpd:C00233,low,1.0,Query '4-methyl-2-oxopentanoate' -> cpd:C00233: 4-Methyl-2-oxopentanoate; 2-Oxoisocaproate; alpha-Ketoisocaproate,9,9,8
15-HETE,15-hete; hete,cpd:C01923,low,0.7,Query 'hete' -> cpd:C01923: Heteroglycan; Heteropolysaccharide,2,1,0
"1,5-anhydroglucitol (1,5-AG)","1,5-anhydroglucitol (1,5-ag); 1,anhydroglucitol (1,ag)",,low,0.0,,0,0,0
2-arachidonoylglycerol (20:4),2-arachidonoylglycerol (20:4); arachidonoylglycerol (20:4),,low,0.0,,0,0,0
1-palmityl-GPC (O-16:0),1-palmityl-gpc (o-16:0); palmityl-gpc (o-16:0),,low,0.0,,0,0,0
1-stearoyl-2-arachidonoyl-GPI (18:0/20:4),1-stearoyl-2-arachidonoyl-gpi (18:0/20:4); stearoyl-arachidonoyl-gpi (18:0/20:4),,low,0.0,,0,0,0
sphingosine 1-phosphate,sphingosine 1-phosphate; sphingosine phosphate; sphingosine 1-phosphic acid,cpd:C06124,low,1.0,Query 'sphingosine 1-phosphate' -> cpd:C06124: Sphingosine 1-phosphate; Sphing-4-enine 1-phosphate; S1P,3,3,10
1-stearoyl-2-oleoyl-GPS (18:0/18:1),1-stearoyl-2-oleoyl-gps (18:0/18:1); stearoyl-oleoyl-gps (18:0/18:1),,low,0.0,,0,0,0
1-stearoyl-GPI (18:0),1-stearoyl-gpi (18:0); stearoyl-gpi (18:0),,low,0.0,,0,0,0
"1,2-dipalmitoyl-GPC (16:0/16:0)","1,2-dipalmitoyl-gpc (16:0/16:0); 1,dipalmitoyl-gpc (16:0/16:0)",,low,0.0,,0,0,0
docosahexaenoate (DHA; 22:6n3),docosahexaenoate (dha; 22:6n3); docosahexaenoic acid (dha; 22:6n3),,low,0.0,,0,0,0
1-myristoyl-2-palmitoyl-GPC (14:0/16:0),1-myristoyl-2-palmitoyl-gpc (14:0/16:0); myristoyl-palmitoyl-gpc (14:0/16:0),,low,0.0,,0,0,0
alpha-hydroxyisocaproate,alpha-hydroxyisocaproate; hydroxyisocaproate; alpha-hydroxyisocaproic acid,cpd:C03264,low,0.7,Query 'hydroxyisocaproate' -> cpd:C03264: (R)-2-Hydroxyisocaproate; D-2-Hydroxyisocaproate; (R)-2-Hydroxy-4-methylpentanoate; (2R)-2-Hydroxy-4,1,1,0
maleate,maleate; maleic acid,cpd:C01384,low,0.9,Query 'maleate' -> cpd:C01384: Maleic acid; Maleate; cis-Butenedioic acid,4,4,5
isovalerate (i5:0),isovalerate (i5:0); isovaleric acid (i5:0),,low,0.0,,0,0,0
2-hydroxyoctanoate,2-hydroxyoctanoate; hydroxyoctanoate; 2-hydroxyoctanoic acid,cpd:C11549,low,0.7,Query 'hydroxyoctanoate' -> cpd:C11549: Poly[(R)-3-hydroxyoctanoate]n; Poly[(R)-3-hydroxyoctanoate]n-x,2,1,0
3-hydroxyoctanoate,3-hydroxyoctanoate; hydroxyoctanoate; 3-hydroxyoctanoic acid,cpd:C20793,low,1.0,Query '3-hydroxyoctanoate' -> cpd:C20793: 3-Hydroxyoctanoate; 3-Hydroxyoctanoic acid,0,0,1
phenyllactate (PLA),phenyllactate (pla); phenyllactic acid (pla),,low,0.0,,0,0,0
palmitoylcarnitine (C16),palmitoylcarnitine (c16),,low,0.0,,0,0,0
hexanoylcarnitine (C6),hexanoylcarnitine (c6),,low,0.0,,0,0,0
N-acetylaspartate (NAA),n-acetylaspartate (naa); acetylaspartate (naa); n-acetylaspartic acid (naa),,low,0.0,,0,0,0
dehydroepiandrosterone sulfate (DHEA-S),dehydroepiandrosterone sulfate (dhea-s); dehydroepiandrosterone sulfic acid (dhea-s),,low,0.0,,0,0,0
acetylcarnitine (C2),acetylcarnitine (c2),,low,0.0,,0,0,0
cysteine s-sulfate,cysteine s-sulfate; cysteine s-sulfic acid,,low,0.0,,0,0,0
oxalate (ethanedioate),oxalate (ethanedioate); oxalic acid (ethanedioic acid),,low,0.0,,0,0,0
adipate (C6-DC),adipate (c6-dc); adipate (cdc); adipic acid (c6-dc),,low,0.0,,0,0,0
3-hydroxymyristate,3-hydroxymyristate; hydroxymyristate; 3-hydroxymyristic acid,cpd:C22003,low,0.7,Query 'hydroxymyristate' -> cpd:C22003: (S)-2-Hydroxymyristate-modified lipid A,1,0,1
1-oleoylglycerol (18:1),1-oleoylglycerol (18:1); oleoylglycerol (18:1),,low,0.0,,0,0,0
3-methyl-2-oxobutyrate,3-methyl-2-oxobutyrate; methyl-oxobutyrate; 3-methyl-2-oxobutyric acid,cpd:C00141,low,0.9,Query '3-methyl-2-oxobutyric acid' -> cpd:C00141: 3-Methyl-2-oxobutanoic acid; 3-Methyl-2-oxobutyric acid; 3-Methyl-2-oxobutanoate; 2-Oxo-3-methylbuta,15,15,10
2-oleoylglycerol (18:1),2-oleoylglycerol (18:1); oleoylglycerol (18:1),,low,0.0,,0,0,0
8-hydroxyoctanoate,8-hydroxyoctanoate; hydroxyoctanoate; 8-hydroxyoctanoic acid,cpd:C11549,low,0.7,Query 'hydroxyoctanoate' -> cpd:C11549: Poly[(R)-3-hydroxyoctanoate]n; Poly[(R)-3-hydroxyoctanoate]n-x,2,1,0
homoarginine,homoarginine,cpd:C01924,low,1.0,Query 'homoarginine' -> cpd:C01924: Homoarginine; L-Homoarginine,1,1,0
homocitrulline,homocitrulline,cpd:C02427,low,0.7,Query 'homocitrulline' -> cpd:C02427: L-Homocitrulline,1,1,0
glycylproline,glycylproline,cpd:C01632,low,0.7,Query 'glycylproline' -> cpd:C01632: N-Carbobenzoxyglycylproline; Z-Gly-Pro; Z-Gly-Pro-OH,0,0,0
2-linoleoylglycerol (18:2),2-linoleoylglycerol (18:2); linoleoylglycerol (18:2),,low,0.0,,0,0,0
3-hydroxydecanoate,3-hydroxydecanoate; hydroxydecanoate; 3-hydroxydecanoic acid,cpd:C02774,low,0.5,Query 'hydroxydecanoate' -> cpd:C02774: 10-Hydroxydecanoic acid; 10-Hydroxydecanoate,1,1,0
N-acetylglycine,n-acetylglycine; acetylglycine,cpd:C05596,low,0.7,Query 'acetylglycine' -> cpd:C05596: p-Hydroxyphenylacetylglycine; 4-Hydroxyphenylacetylglycine,1,0,1
ribonate,ribonate; ribonic acid,cpd:C01685,low,0.7,Query 'ribonate' -> cpd:C01685: D-Ribonate; D-Ribonic acid,1,1,0
threonate,threonate; threonic acid,cpd:C01620,low,1.0,"Query 'threonate' -> cpd:C01620: Threonate; L-Threonate; (2R,3S)-2,3,4-Trihydroxybutanoic acid",2,1,2
galactonate,galactonate; galactonic acid,cpd:C00880,low,0.7,Query 'galactonate' -> cpd:C00880: D-Galactonate; D-Galactonic acid,4,4,3
indoleacetate,indoleacetate; indoleacetic acid,cpd:C00954,low,0.9,Query 'indoleacetate' -> cpd:C00954: Indole-3-acetate; Indole-3-acetic acid; (Indol-3-yl)acetate; Indoleacetate; Indoleacetic acid; (1H-i,16,12,4
1-linoleoylglycerol (18:2),1-linoleoylglycerol (18:2); linoleoylglycerol (18:2),,low,0.0,,0,0,0
1-methylhistidine,1-methylhistidine; methylhistidine,cpd:C01152,low,0.9,Query '1-methylhistidine' -> cpd:C01152: N(pi)-Methyl-L-histidine; N-pros-Methyl-L-histidine; 3-Methylhistidine; 1-Methylhistidine,3,3,2
butyrylcarnitine (C4),butyrylcarnitine (c4),,low,0.0,,0,0,0
isobutyrylcarnitine (C4),isobutyrylcarnitine (c4),,low,0.0,,0,0,0
7-ketodeoxycholate,7-ketodeoxycholate; ketodeoxycholate; 7-ketodeoxycholic acid,,low,0.0,,0,0,0
glycolithocholate,glycolithocholate; glycolithocholic acid,cpd:C15557,low,1.0,Query 'glycolithocholate' -> cpd:C15557: Glycolithocholate; Glycolithocholic acid,1,1,0
androsterone sulfate,androsterone sulfate; androsterone sulfic acid,cpd:C04555,low,0.7,Query 'androsterone sulfate' -> cpd:C04555: Dehydroepiandrosterone sulfate; 3beta-Hydroxyandrost-5-en-17-one 3-sulfate; DHEA sulfate,2,2,3
2-pyrrolidinone,2-pyrrolidinone; pyrrolidinone,cpd:C11118,low,0.7,Query '2-pyrrolidinone' -> cpd:C11118: N-Methyl-2-pyrrolidinone; 1-Methyl-2-pyrrolidinone; N-Methylpyrrolidone,0,0,0
indolepropionate,indolepropionate; indolepropionic acid,,low,0.0,,0,0,0
trigonelline (N'-methylnicotinate),trigonelline (n'-methylnicotinate); trigonelline (n'-methylnicotinic acid),,low,0.0,,0,0,0
dodecanedioate (C12-DC),dodecanedioate (c12-dc); dodecanedioate (cdc); dodecanedioic acid (c12-dc),,low,0.0,,0,0,0
N-acetyltyrosine,n-acetyltyrosine; acetyltyrosine,,low,0.0,,0,0,0
3-hydroxylaurate,3-hydroxylaurate; hydroxylaurate; 3-hydroxylauric acid,,low,0.0,,0,0,0
pyridoxate,pyridoxate; pyridoxic acid,cpd:C00847,low,0.7,Query 'pyridoxate' -> cpd:C00847: 4-Pyridoxate; 4-Pyridoxic acid,3,4,3
threonylphenylalanine,threonylphenylalanine,,low,0.0,,0,0,0
gamma-glutamylvaline,gamma-glutamylvaline; glutamylvaline,,low,0.0,,0,0,0
pyroglutamylglycine,pyroglutamylglycine,,low,0.0,,0,0,0
O-acetylhomoserine,o-acetylhomoserine; acetylhomoserine,cpd:C01077,low,0.9,Query 'o-acetylhomoserine' -> cpd:C01077: O-Acetyl-L-homoserine; O-Acetylhomoserine,6,3,2
pyroglutamylvaline,pyroglutamylvaline,,low,0.0,,0,0,0
3-hydroxysebacate,3-hydroxysebacate; hydroxysebacate; 3-hydroxysebacic acid,,low,0.0,,0,0,0
propionylglycine,propionylglycine,,low,0.0,,0,0,0
2-hydroxyadipate,2-hydroxyadipate; hydroxyadipate; 2-hydroxyadipic acid,cpd:C02360,low,1.0,Query '2-hydroxyadipate' -> cpd:C02360: 2-Hydroxyadipate; 2-Hydroxyadipic acid; 2-Hydroxyhexanedioic acid,1,1,0
propionylcarnitine (C3),propionylcarnitine (c3),,low,0.0,,0,0,0
pro-hydroxy-pro,pro-hydroxy-pro,,low,0.0,,0,0,0
3-hydroxy-2-ethylpropionate,3-hydroxy-2-ethylpropionate; hydroxy-ethylpropionate; 3-hydroxy-2-ethylpropionic acid,,low,0.0,,0,0,0
3-carboxy-4-methyl-5-propyl-2-furanpropanoate (CMPF),3-carboxy-4-methyl-5-propyl-2-furanpropanoate (cmpf); carboxy-methyl-propyl-furanpropanoate (cmpf); 3-carboxy-4-methyl-5-propyl-2-furanpropanoic acid (cmpf),,low,0.0,,0,0,0
2-hydroxymyristate,2-hydroxymyristate; hydroxymyristate; 2-hydroxymyristic acid,cpd:C22003,low,0.7,Query '2-hydroxymyristate' -> cpd:C22003: (S)-2-Hydroxymyristate-modified lipid A,1,0,1
docosapentaenoate (n3 DPA; 22:5n3),docosapentaenoate (n3 dpa; 22:5n3); docosapentaenoic acid (n3 dpa; 22:5n3),,low,0.0,,0,0,0
docosadienoate (22:2n6),docosadienoate (22:2n6); docosadienoic acid (22:2n6),,low,0.0,,0,0,0
adrenate (22:4n6),adrenate (22:4n6); adrenic acid (22:4n6),,low,0.0,,0,0,0
docosatrienoate (22:3n3),docosatrienoate (22:3n3); docosatrienoic acid (22:3n3),,low,0.0,,0,0,0
10-undecenoate (11:1n1),10-undecenoate (11:1n1); undecenoate (11:1n1); 10-undecenoic acid (11:1n1),,low,0.0,,0,0,0
myristoleate (14:1n5),myristoleate (14:1n5); myristoleic acid (14:1n5),,low,0.0,,0,0,0
1-methylhistamine,1-methylhistamine; methylhistamine,cpd:C05127,low,0.9,Query '1-methylhistamine' -> cpd:C05127: N-Methylhistamine; 1-Methylhistamine; 1-Methyl-4-(2-aminoethyl)imidazole; Ntau-Methylhistamine,2,3,2
4-imidazoleacetate,4-imidazoleacetate; imidazoleacetate; 4-imidazoleacetic acid,cpd:C02835,low,0.9,Query '4-imidazoleacetate' -> cpd:C02835: Imidazole-4-acetate; Imidazoleacetic acid; 4-Imidazoleacetate,3,3,2
1-methyl-4-imidazoleacetate,1-methyl-4-imidazoleacetate; methyl-imidazoleacetate; 1-methyl-4-imidazoleacetic acid,cpd:C05828,low,0.9,Query '1-methyl-4-imidazoleacetic acid' -> cpd:C05828: Methylimidazoleacetic acid; Tele-methylimidazoleacetic acid; 1-Methyl-4-imidazoleacetic acid; 1-Meth,1,1,2
sebacate (C10-DC),sebacate (c10-dc); sebacate (cdc); sebacic acid (c10-dc),,low,0.0,,0,0,0
guanidinosuccinate,guanidinosuccinate; guanidinosuccinic acid,cpd:C03139,low,0.9,Query 'guanidinosuccinic acid' -> cpd:C03139: N-Amidino-L-aspartate; N-Amidino-L-aspartic acid; Guanidinosuccinic acid,1,1,0
I-urobilinogen,i-urobilinogen,cpd:C05790,low,1.0,Query 'i-urobilinogen' -> cpd:C05790: I-Urobilinogen; Mesobilirubinogen; Urobilinogen,3,0,1
stearidonate (18:4n3),stearidonate (18:4n3); stearidonic acid (18:4n3),,low,0.0,,0,0,0
5-dodecenoate (12:1n7),5-dodecenoate (12:1n7); dodecenoate (12:1n7); 5-dodecenoic acid (12:1n7),,low,0.0,,0,0,0
octanoylcarnitine (C8),octanoylcarnitine (c8),,low,0.0,,0,0,0
tauro-beta-muricholate,tauro-beta-muricholate; tauro-beta-muricholic acid,,low,0.0,,0,0,0
decanoylcarnitine (C10),decanoylcarnitine (c10),,low,0.0,,0,0,0
N-acetylglutamine,n-acetylglutamine; acetylglutamine,cpd:C04148,low,0.7,Query 'acetylglutamine' -> cpd:C04148: Phenylacetylglutamine; alpha-N-Phenylacetyl-L-glutamine; N2-(2-Phenylacetyl)-L-glutamine,1,1,1
N-acetyltryptophan,n-acetyltryptophan; acetyltryptophan,,low,0.0,,0,0,0
N-acetylphenylalanine,n-acetylphenylalanine; acetylphenylalanine,cpd:C11341,low,0.7,Query 'n-acetylphenylalanine' -> cpd:C11341: N-Acetylphenylalanine beta-naphthyl ester; N-Acetyl-DL-phenylalanine beta-naphthyl ester,0,0,0
N-acetylasparagine,n-acetylasparagine; acetylasparagine,,low,0.0,,0,0,0
gamma-glutamyl-epsilon-lysine,gamma-glutamyl-epsilon-lysine; glutamyl-epsilon-lysine,,low,0.0,,0,0,0
1-palmitoyl-GPC (16:0),1-palmitoyl-gpc (16:0); palmitoyl-gpc (16:0),,low,0.0,,0,0,0
N-acetylarginine,n-acetylarginine; acetylarginine,,low,0.0,,0,0,0
campesterol,campesterol,cpd:C01789,low,1.0,Query 'campesterol' -> cpd:C01789: Campesterol,3,1,7
myristoylcarnitine (C14),myristoylcarnitine (c14),,low,0.0,,0,0,0
1-stearoyl-GPC (18:0),1-stearoyl-gpc (18:0); stearoyl-gpc (18:0),,low,0.0,,0,0,0
1-oleoyl-GPC (18:1),1-oleoyl-gpc (18:1); oleoyl-gpc (18:1),,low,0.0,,0,0,0
N-acetylthreonine,n-acetylthreonine; acetylthreonine,,low,0.0,,0,0,0
phenylacetylglycine,phenylacetylglycine,cpd:C05598,low,1.0,Query 'phenylacetylglycine' -> cpd:C05598: Phenylacetylglycine,1,1,1
N-acetylisoleucine,n-acetylisoleucine; acetylisoleucine,,low,0.0,,0,0,0
10-nonadecenoate (19:1n9),10-nonadecenoate (19:1n9); nonadecenoate (19:1n9); 10-nonadecenoic acid (19:1n9),,low,0.0,,0,0,0
10-heptadecenoate (17:1n7),10-heptadecenoate (17:1n7); heptadecenoate (17:1n7); 10-heptadecenoic acid (17:1n7),,low,0.0,,0,0,0
hyocholate (gamma-muricholate),hyocholate (gamma-muricholate); hyocholic acid (gamma-muricholic acid),,low,0.0,,0,0,0
epiandrosterone sulfate,epiandrosterone sulfate; epiandrosterone sulfic acid,cpd:C04555,low,0.7,Query 'epiandrosterone sulfate' -> cpd:C04555: Dehydroepiandrosterone sulfate; 3beta-Hydroxyandrost-5-en-17-one 3-sulfate; DHEA sulfate,2,2,3
N-acetylhistidine,n-acetylhistidine; acetylhistidine,,low,0.0,,0,0,0
gamma-glutamylglycine,gamma-glutamylglycine; glutamylglycine,,low,0.0,,0,0,0
gamma-glutamyltryptophan,gamma-glutamyltryptophan; glutamyltryptophan,,low,0.0,,0,0,0
alpha-hydroxyisovalerate,alpha-hydroxyisovalerate; hydroxyisovalerate; alpha-hydroxyisovaleric acid,cpd:C20827,low,0.7,Query 'hydroxyisovalerate' -> cpd:C20827: 3-Hydroxyisovalerate; 3-Hydroxy-3-methylbutyrate,1,0,2
gamma-glutamylmethionine,gamma-glutamylmethionine; glutamylmethionine,,low,0.0,,0,0,0
gamma-glutamylthreonine,gamma-glutamylthreonine; glutamylthreonine,,low,0.0,,0,0,0
erythronate*,erythronate*; erythronate; erythronic acid*,cpd:C03356,low,0.7,Query 'erythronate' -> cpd:C03356: 3-Phospho-D-erythronate,1,1,0
fibrinopeptide A*,fibrinopeptide a*; fibrinopeptide a,cpd:C00952,low,1.0,Query 'fibrinopeptide a' -> cpd:C00952: Fibrinopeptide A,0,0,0
"fibrinopeptide A, des-ala(1)*","fibrinopeptide a, des-ala(1)*; fibrinopeptide a, des-ala",,low,0.0,,0,0,0
"fibrinopeptide A, phosphono-ser(3)*","fibrinopeptide a, phosphono-ser(3)*; fibrinopeptide a, phosphono-ser",,low,0.0,,0,0,0
HWESASXX*,hwesasxx*; hwesasxx,,low,0.0,,0,0,0
N-acetylproline,n-acetylproline; acetylproline,,low,0.0,,0,0,0
eicosenoate (20:1),eicosenoate (20:1); eicosenoic acid (20:1),,low,0.0,,0,0,0
linolenate [alpha or gamma; (18:3n3 or 6)],linolenate [alpha or gamma; (18:3n3 or 6)]; linolenic acid [alpha or gamma; (18:3n3 or 6)],,low,0.0,,0,0,0
